Date,Open,High,Low,Close,Adj Close,Volume
2020-06-24,120.739998,121.120003,119.580002,120.300003,118.409775,6871600
2020-06-25,119.760002,120.160004,118.379997,119.709999,117.829048,6856600
2020-06-26,119.599998,120.839996,118.019997,118.320000,116.460884,8997200
2020-06-29,118.500000,119.680000,118.220001,119.059998,117.189255,5503800
2020-06-30,119.220001,120.129997,118.540001,119.779999,117.897949,6836400
2020-07-01,119.449997,119.919998,118.660004,119.690002,117.809364,6577900
2020-07-02,120.089996,120.879997,118.860001,119.209999,117.336891,5898600
2020-07-06,119.800003,119.870003,118.220001,118.889999,117.021927,7231700
2020-07-07,118.449997,127.550003,118.220001,126.949997,124.955276,31152700
2020-07-08,128.000000,128.130005,124.400002,124.440002,122.484718,17405700
2020-07-09,125.610001,128.179993,124.949997,127.750000,125.742714,14257200
2020-07-10,128.740005,131.369995,127.260002,130.679993,128.626678,14745600
2020-07-13,131.330002,133.630005,128.889999,129.520004,127.484901,14112800
2020-07-14,129.279999,132.500000,129.029999,132.009995,129.935776,8818600
2020-07-15,132.270004,134.130005,130.800003,132.000000,129.925919,10577100
2020-07-16,132.050003,132.729996,131.240005,132.199997,130.122787,5892200
2020-07-17,133.369995,133.369995,131.470001,131.740005,129.670044,6063200
2020-07-20,131.960007,132.740005,131.139999,131.470001,129.404266,6114200
2020-07-21,131.559998,133.990005,131.449997,132.330002,130.250763,7237500
2020-07-22,132.570007,133.029999,131.190002,132.660004,130.575577,5388200
2020-07-23,133.000000,133.149994,131.309998,131.639999,129.571579,5598800
2020-07-24,130.949997,132.399994,130.509995,131.240005,129.177902,4345800
2020-07-27,130.860001,131.979996,130.860001,131.210007,129.148376,4681900
2020-07-28,131.500000,132.380005,130.919998,131.759995,129.689697,4804700
2020-07-29,131.559998,131.860001,129.850006,130.690002,128.636520,4741100
2020-07-30,129.419998,130.419998,128.720001,130.119995,128.075485,4596100
2020-07-31,129.649994,130.089996,127.620003,129.399994,127.366791,7210500
2020-08-03,129.910004,130.119995,128.270004,129.300003,127.268356,4990500
2020-08-04,129.649994,131.710007,128.940002,131.639999,129.571579,6073200
2020-08-05,130.449997,130.750000,128.830002,129.809998,127.770340,8494500
